epoch, time, test_loss, train_loss, test_accuracy, train_acc, reconstruction_loss_train, reconstruction_loss_test, margin_loss_train, margin_loss_test
0, 126.29080772399902, 0.05045744781441326, 0.1514154674299944, 98.27, 86.4962962962963, 57.874746503423175, 50.03706466095357, 0.12247809268516528, 0.025438914782827414
1, 128.55282950401306, 0.040355534988302216, 0.056009102727493966, 98.72, 97.83888888888889, 51.62776261822307, 44.941327058816256, 0.030195220199223802, 0.017884869959582633
2, 129.27348637580872, 0.03677452973361257, 0.04579049793747364, 98.92, 98.42777777777778, 47.70922731336259, 41.48409923118881, 0.021935883183385383, 0.016032479249553967
3, 129.36191725730896, 0.033269262931580786, 0.04071695487769718, 99.09, 98.71851851851852, 44.7580806768336, 39.12173630919638, 0.018337913416988122, 0.013708393855751315
4, 129.11970829963684, 0.03059836701030218, 0.03762440546746785, 99.38, 98.88333333333334, 42.60130109380207, 37.18771753431876, 0.016323754044196687, 0.01200450727527466
5, 129.30614924430847, 0.03337525656517548, 0.035680568529849084, 99.11, 98.9574074074074, 40.37671853015773, 34.846389577358586, 0.015492208288779473, 0.015952061083686502
6, 129.35460448265076, 0.02569224383634857, 0.03245863637123345, 99.33999999999999, 99.0425925925926, 37.274376548297035, 32.35764996009537, 0.013821447199713703, 0.009513418069345098
7, 128.9873538017273, 0.02408204807699481, 0.030194890729518017, 99.4, 99.12592592592593, 34.34284914839324, 30.53833749022665, 0.013023465318976067, 0.008812878590336517
8, 129.2823350429535, 0.02236059814974477, 0.02780055537625653, 99.31, 99.22777777777779, 31.87526560959658, 28.478901295722284, 0.0118629218959713, 0.008121146876482835
9, 128.69761538505554, 0.024128909941904152, 0.026324987901436493, 99.33999999999999, 99.28888888888889, 29.896860859405372, 27.26450263397603, 0.011376556724098057, 0.010496657954741128
10, 128.67773008346558, 0.023095149711906154, 0.024828601465229458, 99.32, 99.30925925925926, 28.464562474833844, 25.752683446377137, 0.010596319603826409, 0.010218807390030426
11, 128.72098851203918, 0.02017892464476673, 0.023623477716122474, 99.42999999999999, 99.33333333333333, 27.18656898787801, 24.348408300665362, 0.010030192503996935, 0.008004719986804302
12, 129.13900804519653, 0.019787330911317957, 0.023006477492521583, 99.39, 99.3462962962963, 26.20839257262894, 23.711453618882576, 0.009902280577683548, 0.00793160343118295
13, 131.1335997581482, 0.019008404221621495, 0.022245970210369448, 99.33, 99.40925925925926, 25.392837628369083, 22.57626543165762, 0.009549550855558772, 0.007720270871974622
14, 128.6441593170166, 0.01899872513935913, 0.02099866606736494, 99.48, 99.48703703703704, 24.317004072722664, 23.009065217609646, 0.008840163452418353, 0.007494191948583797
15, 128.49001550674438, 0.017990014456872698, 0.02025779378181103, 99.48, 99.4888888888889, 23.710736387713826, 21.58710296244561, 0.008402425055370017, 0.007196462586451369
16, 128.4061267375946, 0.018930815820452532, 0.019676206211925826, 99.42, 99.53518518518518, 23.201365018907882, 21.045042351831363, 0.008075523083716172, 0.008408294247958479
17, 128.52810978889465, 0.018836266644110408, 0.018921668575061442, 99.39, 99.55000000000001, 22.523305938142173, 20.695995403241508, 0.007660015013346987, 0.008488268544307993
18, 128.6978838443756, 0.016499473583660548, 0.018667407119779083, 99.53, 99.57407407407408, 21.998726013147436, 20.144849620287932, 0.007668043627189604, 0.006427048543420962
19, 128.4026701450348, 0.017296044568566583, 0.017826540316168166, 99.51, 99.6, 21.48384149831618, 18.854427337646484, 0.00708461909607865, 0.00786883037690592
20, 128.3585798740387, 0.015586080406851407, 0.017104549108346773, 99.42, 99.58703703703704, 20.84180157557483, 18.86374090894868, 0.006683647753979781, 0.006154209528637084
21, 128.40243577957153, 0.016852845496769193, 0.016894209595900295, 99.48, 99.6, 20.306495494752134, 18.540688406063033, 0.006740961355704514, 0.007582500842223062
22, 128.13258242607117, 0.015007971656284754, 0.016330800211207138, 99.5, 99.6537037037037, 19.863171554854695, 17.63581851766079, 0.006399213950485168, 0.006190062062873776
23, 128.2331473827362, 0.014325041583255876, 0.016019914835532553, 99.53, 99.6462962962963, 19.48312228324854, 17.263690888127194, 0.006278353197316935, 0.005693195826857339
24, 128.7948796749115, 0.015933604533725148, 0.015867114541566626, 99.53999999999999, 99.64259259259259, 19.011268222501492, 17.524690314184262, 0.006361479993459385, 0.007171258935262744
25, 128.4524269104004, 0.014276113667631452, 0.014904092275647896, 99.49, 99.70185185185186, 18.53474640959247, 16.387123228628425, 0.005636718640295938, 0.006082551755730204
